--- Terminal on com7 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp8266_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H

17:10:58 49974,23595,23619,23587,0,0,0,1,0,0,-4,0,0,32202,31818,53720,
17:10:59 49970,23603,23609,23588,0,2,2,1,0,0,-4,0,0,32298,31818,53815,
17:11:00 49976,23582,23605,23582,2,1,1,0,1,1,-1,0,0,32298,31818,53794,
17:11:01 49986,23619,23621,23608,1,0,1,2,0,0,-4,0,0,32298,31818,53878,-web 15ms 
17:11:02 49984,23606,23617,23606,1,2,1,1,0,1,-3,0,0,32298,31818,53860,
17:11:03 49996,23603,23608,23600,0,1,1,1,0,1,-4,0,0,32298,31818,53851,
17:11:04 50002,23609,23616,23609,2,0,0,0,2,1,-3,0,0,32202,31914,53882,
17:11:05 50008,23605,23609,23595,0,1,2,1,0,1,-3,0,0,32298,31818,53863,-web 15ms 
17:11:06 50002,23591,23601,23578,0,1,1,1,0,0,-4,0,0,32298,31818,53815,
17:11:07 50006,23580,23595,23576,1,1,0,1,0,1,-3,0,0,32298,31818,53802,
17:11:08 50004,23575,23587,23572,1,1,1,1,1,2,-5,0,0,32202,31818,53688,
17:11:09 49996,23569,23578,23559,1,1,0,0,0,2,-4,0,0,32202,31723,53555,
17:11:10 49980,23547,23564,23545,1,1,1,0,1,1,-4,0,0,32202,31723,53490,-web 16ms 
17:11:11 49970,23529,23544,23529,0,1,2,0,1,0,-1,0,0,32202,31818,53523,
17:11:12 49968,23579,23579,23564,1,2,1,1,2,1,-5,0,0,32202,31818,53641,
17:11:13 49960,23599,23599,23593,1,0,1,1,2,1,-5,0,0,32202,31818,53700,
17:11:14 49952,23593,23603,23585,0,0,1,0,1,2,-5,0,0,32202,31818,53680,
17:11:15 49962,23615,23615,23594,0,0,0,0,1,0,-4,0,0,32298,31818,53827,-web 16ms 
17:11:16 49956,23614,23627,23614,0,0,1,1,1,1,-4,0,0,32298,31914,53951,
17:11:17 49960,23603,23607,23585,2,0,1,1,1,0,-6,0,0,32298,31818,53798,
17:11:18 49960,23620,23620,23603,0,0,1,1,0,0,-3,0,0,32298,31914,53942,
17:11:19 49964,23582,23602,23582,2,0,0,0,1,0,-1,0,0,32298,31914,53872,
17:11:20 49966,23606,23606,23596,0,1,1,1,2,0,-3,0,0,32298,31914,53916,
17:11:21 49968,23593,23608,23573,0,0,0,1,1,0,-5,0,0,32202,31818,53687,-web 17ms 
17:11:22 49972,23598,23609,23598,0,0,1,0,1,1,-5,0,0,32298,31818,53819,
17:11:23 49972,23588,23600,23571,1,0,1,1,1,2,-4,0,0,32298,31818,53777,
17:11:24 49980,23599,23599,23581,0,1,0,0,0,0,-1,0,0,32298,31818,53803,
